,precision,recall,f1-score,support
391,1.0,1.0,1.0,366.0
392,1.0,1.0,1.0,150.0
393,1.0,1.0,1.0,196.0
394,1.0,1.0,1.0,310.0
395,1.0,1.0,1.0,32.0
396,1.0,1.0,1.0,41.0
397,1.0,1.0,1.0,46.0
398,1.0,1.0,1.0,37.0
399,1.0,1.0,1.0,81.0
400,1.0,1.0,1.0,34.0
401,1.0,1.0,1.0,651.0
402,1.0,1.0,1.0,20.0
403,1.0,1.0,1.0,29.0
404,1.0,1.0,1.0,304.0
405,1.0,1.0,1.0,859.0
406,1.0,1.0,1.0,37.0
407,1.0,1.0,1.0,279.0
408,1.0,1.0,1.0,110.0
409,1.0,1.0,1.0,170.0
410,1.0,1.0,1.0,47.0
411,1.0,1.0,1.0,448.0
412,1.0,1.0,1.0,16.0
413,1.0,1.0,1.0,179.0
414,1.0,1.0,1.0,75.0
415,1.0,1.0,1.0,93.0
416,1.0,1.0,1.0,91.0
417,1.0,1.0,1.0,37.0
418,1.0,1.0,1.0,112.0
419,1.0,1.0,1.0,122.0
420,1.0,1.0,1.0,142.0
421,1.0,1.0,1.0,45.0
422,1.0,1.0,1.0,92.0
423,1.0,1.0,1.0,9.0
424,1.0,1.0,1.0,15.0
425,1.0,1.0,1.0,224.0
426,1.0,1.0,1.0,250.0
427,1.0,1.0,1.0,151.0
428,1.0,1.0,1.0,24.0
429,1.0,1.0,1.0,143.0
430,1.0,1.0,1.0,45.0
431,1.0,1.0,1.0,77.0
432,1.0,1.0,1.0,14.0
433,1.0,1.0,1.0,135.0
434,1.0,1.0,1.0,40.0
435,1.0,1.0,1.0,162.0
436,1.0,1.0,1.0,15.0
437,1.0,1.0,1.0,18.0
438,1.0,1.0,1.0,9.0
439,1.0,1.0,1.0,331.0
440,1.0,1.0,1.0,43.0
441,1.0,1.0,1.0,18.0
442,1.0,1.0,1.0,35.0
443,1.0,1.0,1.0,211.0
444,1.0,1.0,1.0,400.0
445,1.0,1.0,1.0,88.0
446,1.0,1.0,1.0,48.0
448,1.0,1.0,1.0,26.0
449,0.5370370370370371,0.5471698113207547,0.5420560747663551,53.0
450,1.0,1.0,1.0,89.0
451,1.0,1.0,1.0,40.0
452,1.0,1.0,1.0,87.0
453,1.0,1.0,1.0,449.0
454,1.0,1.0,1.0,134.0
455,1.0,1.0,1.0,228.0
456,0.9523809523809523,1.0,0.975609756097561,20.0
457,1.0,1.0,1.0,63.0
